0,1,2,3,4,5,6,7,8,9
TF-value,TI-value,T-EV-value,conf,cred,p-TF,p-TI,T-EV,y-test,y-pred
TRUE,FALSE,FALSE,0.998,0.319,0.320134109,0.001593851,0.003066275,TF,0
TRUE,FALSE,FALSE,0.995,0.243,0.242420796,0.001662449,0.005898647,TF,0
TRUE,TRUE,TRUE,0.922,0.159,0.15952206,0.077390058,0.016700843,TF,0
TRUE,TRUE,TRUE,0.886,0.121,0.113763466,0.053106525,0.119204619,T-EV,2
TRUE,FALSE,FALSE,0.999,0.645,0.645581948,1.29E-05,0.000807899,TF,0
FALSE,FALSE,TRUE,0.999,0.97,0.001443659,0.00014221,0.969879468,T-EV,2
TRUE,FALSE,FALSE,0.998,0.3,0.299760685,0.00066623,0.00269318,TF,0
FALSE,TRUE,FALSE,0.999,0.954,0.000981551,0.954753976,0.000602539,TI,1
TRUE,FALSE,FALSE,0.998,0.426,0.426374746,0.001173036,0.001814512,TF,0
FALSE,TRUE,FALSE,0.999,0.561,0.000523538,0.562374281,0.001438677,TI,1
TRUE,TRUE,TRUE,0.933,0.176,0.174717768,0.067106797,0.044073808,TF,0
TRUE,FALSE,TRUE,0.987,0.231,0.230641917,0.002004152,0.012779364,TF,0
TRUE,FALSE,TRUE,0.969,0.209,0.208761592,0.002701345,0.03126761,TF,0
TRUE,FALSE,FALSE,0.999,0.895,0.894961561,2.19E-05,0.000117532,TF,0
TRUE,TRUE,TRUE,0.93,0.167,0.166446399,0.012614923,0.070322421,TF,0
TRUE,TRUE,TRUE,0.887,0.127,0.111358522,0.124185122,0.060038951,TI,1
TRUE,FALSE,FALSE,0.998,0.824,0.823161573,4.38E-05,0.001059607,TF,0
TRUE,TRUE,TRUE,0.93,0.166,0.166497327,0.012147083,0.069953679,TF,0
TRUE,TRUE,TRUE,0.909,0.136,0.090055295,0.13661153,0.04703567,TI,1
TRUE,FALSE,FALSE,0.998,0.85,0.856029371,0.000391694,0.000216001,TF,0
TRUE,FALSE,FALSE,0.997,0.456,0.455812463,0.000600879,0.00311954,TF,0
TRUE,TRUE,TRUE,0.895,0.129,0.12925963,0.047339892,0.105331356,TF,0
TRUE,FALSE,FALSE,0.997,0.32,0.319947163,0.001133597,0.002502944,TF,0
TRUE,FALSE,FALSE,0.998,0.932,0.932256029,0.000905924,0.001145433,TF,0
TRUE,FALSE,FALSE,0.998,0.888,0.842549717,0.000483025,0.001202709,TF,0
TRUE,FALSE,FALSE,0.999,0.483,0.484151551,0.001223522,0.000590631,TF,0
TRUE,FALSE,FALSE,0.998,0.44,0.440515184,0.00085978,0.002160759,TF,0
TRUE,TRUE,TRUE,0.915,0.145,0.1459627,0.031631493,0.084467795,TF,0
TRUE,FALSE,FALSE,0.999,0.535,0.537556658,0.001333329,0.000624447,TF,0
TRUE,FALSE,FALSE,0.999,0.779,0.777811483,0.001367976,0.001354108,TF,0
FALSE,FALSE,TRUE,0.998,0.313,0.002191108,0.001058259,0.313676091,T-EV,2
TRUE,FALSE,FALSE,0.998,0.265,0.264281677,0.00144039,0.002953224,TF,0
TRUE,TRUE,TRUE,0.916,0.146,0.083902319,0.031522268,0.145891706,T-EV,2
TRUE,FALSE,FALSE,0.998,0.317,0.317079604,0.000633791,0.00195985,TF,0
FALSE,FALSE,TRUE,0.999,0.964,0.001126005,0.000854922,0.963105733,T-EV,2
TRUE,FALSE,TRUE,0.952,0.188,0.187661924,0.001885813,0.048047038,TF,0
TRUE,FALSE,FALSE,0.998,0.456,0.45633982,0.000294205,0.001706654,TF,0
FALSE,TRUE,FALSE,0.999,0.826,0.000268163,0.826579471,0.001101085,TI,1
TRUE,TRUE,TRUE,0.894,0.131,0.10625902,0.072080102,0.130986511,T-EV,2
TRUE,FALSE,FALSE,0.999,0.782,0.782538611,0.0010598,0.000395336,TF,0
FALSE,FALSE,TRUE,0.999,0.632,0.000982178,0.000473824,0.632010689,T-EV,2
TRUE,FALSE,FALSE,0.999,0.58,0.580717131,0.0008565,0.000489795,TF,0
TRUE,FALSE,FALSE,0.997,0.316,0.315775115,0.000396831,0.002135383,TF,0
TRUE,FALSE,FALSE,0.999,0.545,0.545737194,0.000303319,0.00106615,TF,0
TRUE,FALSE,FALSE,0.999,0.482,0.481808575,0.000715367,0.001061698,TF,0
TRUE,TRUE,TRUE,0.886,0.12,0.114129465,0.120111175,0.051782565,TI,1
TRUE,FALSE,FALSE,0.995,0.254,0.253479559,0.002791219,0.003711256,TF,0
TRUE,FALSE,FALSE,0.999,0.729,0.726752249,7.76E-05,1.32E-05,TF,0
TRUE,FALSE,FALSE,0.994,0.25,0.250001406,0.001882213,0.005009569,TF,0
TRUE,FALSE,FALSE,1,0.607,0.605694327,0.000389915,0.001244669,TF,0
TRUE,FALSE,FALSE,1,0.683,0.683579762,0.001145673,0.000170649,TF,0
TRUE,FALSE,FALSE,1,0.888,0.841324271,0.000802042,0.00112691,TF,0
TRUE,FALSE,FALSE,0.997,0.397,0.396678071,8.62E-05,0.002624168,TF,0
TRUE,FALSE,FALSE,0.999,0.836,0.892593962,0.000812641,0.001560686,TF,0
TRUE,FALSE,FALSE,0.999,0.887,0.836012313,0.001454389,0.000159949,TF,0
TRUE,FALSE,FALSE,0.994,0.245,0.245346081,0.002370644,0.005020307,TF,0
TRUE,FALSE,FALSE,0.999,0.72,0.716863311,0.001289386,0.001572319,TF,0
TRUE,FALSE,FALSE,0.999,0.636,0.636493688,0.001354041,0.000907874,TF,0
TRUE,FALSE,FALSE,0.999,0.934,0.932827634,0.000368639,0.00109554,TF,0
TRUE,FALSE,TRUE,0.951,0.184,0.184413752,0.002204053,0.04899718,TF,0
FALSE,FALSE,TRUE,0.999,0.823,0.001550174,0.0014983,0.823165678,T-EV,2
TRUE,FALSE,FALSE,0.999,0.941,0.941844373,0.001144174,0.000792261,TF,0
TRUE,FALSE,TRUE,0.973,0.211,0.210660196,0.001932696,0.026868477,TF,0
TRUE,FALSE,FALSE,0.998,0.336,0.335947292,0.000323889,0.002181625,TF,0
TRUE,FALSE,FALSE,0.999,0.495,0.494640951,0.001125157,0.000289562,TF,0
TRUE,FALSE,FALSE,0.998,0.685,0.688359721,0.001017989,0.000999085,TF,0
TRUE,TRUE,TRUE,0.915,0.146,0.083941182,0.044065359,0.14595521,T-EV,2
TRUE,FALSE,FALSE,0.998,0.3,0.300777388,0.000897869,0.002530854,TF,0
TRUE,FALSE,FALSE,0.997,0.426,0.427453652,0.000911203,0.002227953,TF,0
TRUE,FALSE,FALSE,0.997,0.385,0.384164994,0.001315224,0.002497882,TF,0
TRUE,FALSE,FALSE,0.997,0.341,0.340626388,0.000323469,0.002898078,TF,0
TRUE,FALSE,FALSE,0.999,0.558,0.558068014,0.000621437,0.00076886,TF,0
TRUE,FALSE,FALSE,0.997,0.266,0.267032517,0.001399913,0.001802148,TF,0
TRUE,FALSE,FALSE,0.999,0.482,0.48262047,0.000568022,0.000345907,TF,0
TRUE,FALSE,FALSE,0.997,0.261,0.261560323,0.001489405,0.002275607,TF,0
TRUE,FALSE,FALSE,1,0.763,0.762552667,0.000207614,1.44E-05,TF,0
TRUE,FALSE,FALSE,0.998,0.427,0.426823953,0.000315375,0.002846914,TF,0
TRUE,TRUE,TRUE,0.93,0.17,0.16914341,0.010553441,0.070432319,TF,0
FALSE,FALSE,TRUE,0.999,0.582,0.000676153,0.001256453,0.582259906,T-EV,2
TRUE,FALSE,TRUE,0.985,0.221,0.221594764,0.003087678,0.015663058,TF,0
TRUE,FALSE,FALSE,0.997,0.346,0.34517765,0.000667927,0.002069269,TF,0
TRUE,FALSE,FALSE,0.999,0.789,0.788206816,0.000609417,0.001488498,TF,0
TRUE,FALSE,FALSE,0.998,0.558,0.557523029,0.001274653,0.001182728,TF,0
TRUE,TRUE,TRUE,0.916,0.142,0.143225689,0.034114722,0.084489665,TF,0
TRUE,FALSE,FALSE,1,0.721,0.720776253,0.000854921,0.001275609,TF,0
TRUE,FALSE,FALSE,0.999,0.769,0.769611817,0.000296201,0.001507229,TF,0
TRUE,FALSE,FALSE,0.999,0.502,0.501874658,4.68E-05,0.000528902,TF,0
TRUE,FALSE,FALSE,0.997,0.299,0.298177156,0.000263175,0.002210191,TF,0
TRUE,FALSE,FALSE,0.997,0.322,0.320793221,0.000287024,0.002310432,TF,0
TRUE,FALSE,FALSE,0.998,0.426,0.425368138,0.000788273,0.00320169,TF,0
FALSE,FALSE,TRUE,0.999,0.964,0.000494806,0.000646789,0.963628475,T-EV,2
TRUE,TRUE,TRUE,0.904,0.137,0.077371231,0.097224695,0.135963075,T-EV,2
TRUE,FALSE,FALSE,0.999,0.676,0.672401988,0.000678451,0.000503228,TF,0
TRUE,FALSE,FALSE,0.999,0.542,0.541425064,0.000393756,0.001096732,TF,0
TRUE,FALSE,TRUE,0.966,0.197,0.196944938,0.003114411,0.034070048,TF,0
TRUE,FALSE,TRUE,0.976,0.213,0.213567795,0.00313044,0.025241276,TF,0
FALSE,FALSE,TRUE,0.999,0.975,0.000651197,0.000492808,0.975491565,T-EV,2
TRUE,FALSE,TRUE,0.947,0.183,0.18302414,0.00253024,0.051819077,TF,0
TRUE,TRUE,FALSE,0.966,0.201,0.199404002,0.031046142,0.002624424,TF,0
TRUE,FALSE,FALSE,0.998,0.53,0.530948476,0.00072479,0.000518004,TF,0
TRUE,FALSE,FALSE,0.998,0.319,0.319650077,0.00056269,0.002348909,TF,0
TRUE,FALSE,FALSE,0.997,0.312,0.313997415,0.001029029,0.002100573,TF,0
TRUE,TRUE,TRUE,0.92,0.157,0.079447527,0.066715397,0.157576551,T-EV,2
TRUE,FALSE,FALSE,0.997,0.435,0.435951409,0.000797626,0.002108776,TF,0
TRUE,FALSE,FALSE,0.997,0.46,0.459602816,0.000687469,0.002171215,TF,0
TRUE,TRUE,TRUE,0.915,0.145,0.083994285,0.1459318,0.031762015,TI,1
TRUE,TRUE,TRUE,0.897,0.132,0.10601831,0.07131271,0.131095543,T-EV,2
TRUE,FALSE,FALSE,0.999,0.649,0.64871519,0.001150992,0.000346754,TF,0
TRUE,FALSE,TRUE,0.964,0.192,0.036272724,0.003047352,0.191855304,T-EV,2
TRUE,FALSE,FALSE,0.999,0.629,0.627829301,0.001568176,0.000654867,TF,0
TRUE,FALSE,FALSE,0.999,0.795,0.7928724,0.001479952,0.001276999,TF,0
TRUE,TRUE,TRUE,0.913,0.14,0.140696343,0.085538602,0.03813479,TF,0
TRUE,FALSE,TRUE,0.939,0.181,0.181578447,0.004576473,0.061358466,TF,0
TRUE,FALSE,FALSE,0.999,0.483,0.484511929,0.00130884,0.000603779,TF,0
TRUE,TRUE,TRUE,0.921,0.156,0.157562123,0.02475399,0.080018485,TF,0
TRUE,FALSE,FALSE,0.999,0.606,0.605868838,0.000331311,0.001115571,TF,0
TRUE,FALSE,FALSE,0.997,0.406,0.406779265,0.000767066,0.003097567,TF,0
TRUE,FALSE,FALSE,0.997,0.268,0.268494788,0.000363251,0.002480374,TF,0
TRUE,FALSE,FALSE,0.998,0.672,0.677887249,0.001603546,0.001208217,TF,0
TRUE,TRUE,TRUE,0.912,0.139,0.141114575,0.088774347,0.043140135,TF,0
TRUE,FALSE,FALSE,0.999,0.591,0.593720085,0.00148633,0.000126561,TF,0
